IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.164.75,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,32,25.24
47.243.183.127,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,37,21.81
47.243.42.219,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,30,20.88
8.210.43.213,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,27,19.93
8.222.156.242,2053,2053,TRUE,SIN,Asia Pacific,Singapore,60,19.45
8.210.119.11,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,31,19.11
47.243.234.9,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,30,18.55
8.210.156.6,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,36,17.42
47.243.186.171,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,31,16.39
47.236.164.215,2053,2053,TRUE,SIN,Asia Pacific,Singapore,108,16.25
47.242.171.94,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,31,16.18
47.242.157.96,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,32,16.1
8.217.121.207,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,35,15.53
47.243.107.148,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,32,14.96
8.217.66.3,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,33,14.94
47.243.27.217,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,28,14.9
8.210.89.245,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,34,14.43
47.242.174.27,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,32,14.34
8.217.250.222,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,36,13.92
47.242.252.237,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,32,13.86
47.76.77.103,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,38,13.24
8.222.183.242,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,13.22
8.219.114.201,2053,2053,TRUE,SIN,Asia Pacific,Singapore,65,13.06
47.236.125.62,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,172,13.01
47.76.213.245,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,36,11.87
8.219.161.129,2053,2053,TRUE,SIN,Asia Pacific,Singapore,107,11.69
8.210.174.156,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,30,11.57
8.219.122.55,2053,2053,TRUE,SIN,Asia Pacific,Singapore,63,11.5
8.219.120.87,2053,2053,TRUE,SIN,Asia Pacific,Singapore,70,11.39
8.218.173.78,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,29,11.05
47.242.155.183,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,32,10.83
47.236.75.152,2053,2053,TRUE,SIN,Asia Pacific,Singapore,107,10.83
47.236.167.231,2053,2053,TRUE,SIN,Asia Pacific,Singapore,109,10.8
8.210.3.24,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,31,10.53
47.242.54.157,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,30,10.27
