IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.15.251,443,443,TRUE,HKG,Asia Pacific,Hong Kong,64,17.94
176.126.114.97,443,443,TRUE,NRT,Asia Pacific,Tokyo,95,17.04
8.20.125.1,443,443,TRUE,SFO,North America,San Francisco,191,13.59
8.219.222.98,443,443,TRUE,SIN,Asia Pacific,Singapore,100,10.93
8.20.125.2,443,443,TRUE,SFO,North America,San Francisco,180,10.4
179.43.140.35,443,443,TRUE,FRA,Europe,Frankfurt,277,8.86
43.153.4.246,443,443,TRUE,SJC,North America,San Jose,200,8.48
34.251.55.80,443,443,TRUE,DUB,Europe,Dublin,254,8.31
13.230.34.30,443,443,TRUE,NRT,Asia Pacific,Tokyo,91,8.25
8.219.106.156,443,443,TRUE,SIN,Asia Pacific,Singapore,73,8.05
146.70.175.102,443,443,TRUE,AMS,Europe,Amsterdam,181,8.05
34.154.18.33,443,443,TRUE,FRA,Europe,Frankfurt,239,7.26
146.70.175.175,443,443,TRUE,AMS,Europe,Amsterdam,181,7.03
185.68.93.39,443,443,TRUE,ATH,Europe,Athens,275,6.76
146.70.169.122,443,443,TRUE,AMS,Europe,Amsterdam,223,5.97
52.192.240.157,443,443,TRUE,NRT,Asia Pacific,Tokyo,78,5.88
192.9.172.26,443,443,TRUE,SYD,Oceania,Sydney,157,5.86
217.29.23.169,443,443,TRUE,FRA,Europe,Frankfurt,226,5.78
34.118.42.32,443,443,TRUE,FRA,Europe,Frankfurt,254,5.7
146.70.175.119,443,443,TRUE,AMS,Europe,Amsterdam,174,5.6
212.118.41.233,443,443,TRUE,AMS,Europe,Amsterdam,210,5.45
34.118.46.98,443,443,TRUE,FRA,Europe,Frankfurt,289,5.36
146.70.169.116,443,443,TRUE,AMS,Europe,Amsterdam,184,5.29
146.70.175.164,443,443,TRUE,AMS,Europe,Amsterdam,202,5.29
146.70.175.189,443,443,TRUE,AMS,Europe,Amsterdam,189,5.23
52.165.82.62,443,443,TRUE,ORD,North America,Chicago,232,5.17
141.144.193.81,443,443,TRUE,FRA,Europe,Frankfurt,231,5.16
34.141.55.209,443,443,TRUE,FRA,Europe,Frankfurt,295,4.97
31.129.49.103,443,443,TRUE,LED,Europe,Saint Petersburg,211,4.97
158.101.164.251,443,443,TRUE,FRA,Europe,Frankfurt,297,4.64
143.47.237.158,443,443,TRUE,FRA,Europe,Frankfurt,309,4.62
34.141.73.163,443,443,TRUE,FRA,Europe,Frankfurt,287,4.59
46.151.28.100,443,443,TRUE,AMS,Europe,Amsterdam,192,4.51
146.70.175.171,443,443,TRUE,AMS,Europe,Amsterdam,193,4.44
195.200.26.16,443,443,TRUE,AMS,Europe,Amsterdam,196,4.39
34.41.252.92,443,443,TRUE,ORD,North America,Chicago,237,4.21
185.53.229.127,443,443,TRUE,DME,Europe,Moscow,230,4.18
158.178.148.103,443,443,TRUE,FRA,Europe,Frankfurt,283,4.17
146.70.175.106,443,443,TRUE,AMS,Europe,Amsterdam,183,4.14
34.89.156.87,443,443,TRUE,FRA,Europe,Frankfurt,285,4.13
38.180.15.45,443,443,TRUE,FRA,Europe,Frankfurt,264,4.11
193.123.63.18,443,443,TRUE,FRA,Europe,Frankfurt,259,4.1
192.236.249.111,443,443,TRUE,AMS,Europe,Amsterdam,254,4.07
34.154.94.146,443,443,TRUE,FRA,Europe,Frankfurt,308,4.05
132.226.215.119,443,443,TRUE,FRA,Europe,Frankfurt,305,4.02
141.144.203.161,443,443,TRUE,FRA,Europe,Frankfurt,212,3.97
34.154.195.86,443,443,TRUE,FRA,Europe,Frankfurt,296,3.93
141.147.30.230,443,443,TRUE,FRA,Europe,Frankfurt,241,3.92
35.246.234.68,443,443,TRUE,FRA,Europe,Frankfurt,276,3.91
35.225.207.21,443,443,TRUE,ORD,North America,Chicago,239,3.89
192.236.249.94,443,443,TRUE,AMS,Europe,Amsterdam,256,3.81
34.159.95.136,443,443,TRUE,FRA,Europe,Frankfurt,280,3.8
185.200.119.162,443,443,TRUE,AMS,Europe,Amsterdam,181,3.8
158.180.42.90,443,443,TRUE,FRA,Europe,Frankfurt,281,3.79
34.34.108.18,443,443,TRUE,FRA,Europe,Frankfurt,196,3.64
193.142.147.191,443,443,TRUE,AMS,Europe,Amsterdam,213,3.64
144.21.51.110,443,443,TRUE,LHR,Europe,London,283,3.57
